time/total_timesteps,time/episodes,rollout/exploration_rate,rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,train/loss,train/learning_rate,train/n_updates
564946,345100,0.24673866666666666,3.78,26,21270,10.06,6.495056629180908,0.001,78736
565369,345200,0.24617466666666665,4.23,26,21280,12.16,7.686673641204834,0.001,78842
565741,345300,0.2456786666666666,3.72,26,21290,8.11,3.6429996490478516,0.001,78935
566191,345400,0.24507866666666667,4.5,26,21301,15.11,9.952427864074707,0.001,79047
566607,345500,0.24452399999999996,4.16,26,21310,11.83,10.421080589294434,0.001,79151
567058,345600,0.24392266666666673,4.51,26,21321,13.48,16.68019676208496,0.001,79264
567468,345700,0.24337600000000004,4.1,26,21331,11.2,2.5946295261383057,0.001,79366
567899,345800,0.24280133333333342,4.31,26,21341,12.53,12.873230934143066,0.001,79474
568303,345900,0.24226266666666652,4.04,26,21351,9.93,19.74752426147461,0.001,79575
568725,346000,0.24170000000000003,4.22,26,21361,11.31,6.898686408996582,0.001,79681
569147,346100,0.24113733333333331,4.22,26,21371,11.7,9.194646835327148,0.001,79786
569539,346200,0.24061466666666664,3.92,26,21380,9.26,8.101901054382324,0.001,79884
569939,346300,0.24008133333333337,4.0,26,21390,9.91,15.295515060424805,0.001,79984
570365,346400,0.23951333333333347,4.26,26,21401,11.61,9.488141059875488,0.001,80091
570773,346500,0.23896933333333337,4.08,26,21411,10.84,5.189055919647217,0.001,80193
571212,346600,0.23838399999999993,4.39,26,21421,12.07,2.716512680053711,0.001,80302
571631,346700,0.23782533333333333,4.19,26,21431,11.4,7.836538791656494,0.001,80407
572026,346800,0.23729866666666677,3.95,26,21440,9.44,4.490781307220459,0.001,80506
572412,346900,0.2367840000000001,3.86,26,21450,9.95,12.729296684265137,0.001,80602
572865,347000,0.23618000000000006,4.53,26,21460,12.29,12.596243858337402,0.001,80716
573307,347100,0.2355906666666665,4.42,26,21470,12.24,14.52458381652832,0.001,80826
573694,347200,0.23507466666666677,3.87,26,21479,10.17,10.227574348449707,0.001,80923
574126,347300,0.23449866666666663,4.32,26,21489,11.28,1.3145805597305298,0.001,81031
574535,347400,0.23395333333333346,4.09,26,21499,10.58,8.422531127929688,0.001,81133
575015,347500,0.23331333333333326,4.8,26,21510,14.81,2.6809778213500977,0.001,81253
575468,347600,0.2327093333333332,4.53,26,21521,13.71,8.30789566040039,0.001,81366
575941,347700,0.23207866666666677,4.73,26,21531,14.16,7.269164085388184,0.001,81485
576378,347800,0.23149599999999992,4.37,26,21542,12.61,11.951852798461914,0.001,81594
576856,347900,0.23085866666666677,4.78,26,21553,14.66,4.086590766906738,0.001,81713
577273,348000,0.23030266666666677,4.17,26,21564,11.42,3.4874606132507324,0.001,81818
577791,348100,0.22961199999999993,5.18,26,21576,17.27,8.737893104553223,0.001,81947
578198,348200,0.22906933333333335,4.07,26,21586,10.87,2.922816038131714,0.001,82049
578601,348300,0.22853199999999996,4.03,26,21595,10.38,10.837258338928223,0.001,82150
579026,348400,0.22796533333333335,4.25,26,21605,12.27,22.749469757080078,0.001,82256
579465,348500,0.22738000000000014,4.39,26,21615,13.21,10.965465545654297,0.001,82366
579849,348600,0.22686800000000007,3.84,26,21625,8.16,3.4190621376037598,0.001,82462
580287,348700,0.22628400000000015,4.38,26,21635,12.38,6.869665145874023,0.001,82571
580650,348800,0.2258,3.63,26,21644,8.06,2.6431264877319336,0.001,82662
581019,348900,0.22530800000000006,3.69,26,21654,8.0,5.811548709869385,0.001,82754
581467,349000,0.22471066666666673,4.48,26,21664,11.27,8.115697860717773,0.001,82866
581958,349100,0.22405600000000003,4.91,26,21674,15.67,2.3512046337127686,0.001,82989
582354,349200,0.22352799999999995,3.96,26,21684,11.47,7.462594509124756,0.001,83088
582817,349300,0.2229106666666667,4.63,26,21695,13.45,13.182202339172363,0.001,83204
583231,349400,0.2223586666666666,4.14,26,21705,11.1,2.596142530441284,0.001,83307
583635,349500,0.22182000000000013,4.04,26,21714,10.99,3.128950834274292,0.001,83408
584053,349600,0.2212626666666666,4.18,26,21724,11.61,5.4200849533081055,0.001,83513
584503,349700,0.22066266666666667,4.5,26,21735,12.5,3.4489731788635254,0.001,83625
584920,349800,0.22010666666666667,4.17,26,21745,11.07,8.122603416442871,0.001,83729
585338,349900,0.21954933333333337,4.18,26,21754,12.29,9.226821899414062,0.001,83834
585858,350000,0.21885600000000016,5.2,26,21766,18.71,21.804058074951172,0.001,83964
586289,350100,0.21828133333333333,4.31,26,21775,13.23,9.838740348815918,0.001,84072
586729,350200,0.2176946666666666,4.4,26,21786,12.65,27.6905460357666,0.001,84182
587216,350300,0.2170453333333333,4.87,26,21796,15.54,9.773553848266602,0.001,84303
587686,350400,0.21641866666666676,4.7,26,21806,14.19,14.844679832458496,0.001,84421
588153,350500,0.2157960000000001,4.67,26,21817,14.59,14.701835632324219,0.001,84538
588611,350600,0.21518533333333334,4.58,26,21828,15.77,9.2453031539917,0.001,84652
589051,350700,0.21459866666666683,4.4,26,21838,13.53,15.20991325378418,0.001,84762
589519,350800,0.21397466666666665,4.68,26,21849,14.84,10.537386894226074,0.001,84879
589981,350900,0.2133586666666667,4.62,26,21859,13.14,11.173067092895508,0.001,84995
590433,351000,0.21275599999999995,4.52,26,21869,12.5,9.08966064453125,0.001,85108
590883,351100,0.212156,4.5,27,21880,13.95,10.005999565124512,0.001,85220
591324,351200,0.21156799999999998,4.41,27,21890,12.71,12.0176362991333,0.001,85330
591785,351300,0.21095333333333333,4.61,27,21900,13.64,3.290623426437378,0.001,85446
592297,351400,0.21027066666666672,5.12,27,21911,16.58,5.377894878387451,0.001,85574
592727,351500,0.20969733333333318,4.3,27,21921,12.13,27.948232650756836,0.001,85681
593179,351600,0.20909466666666665,4.52,27,21932,13.63,14.805262565612793,0.001,85794
593665,351700,0.20844666666666667,4.86,27,21942,16.93,2.433537483215332,0.001,85916
